,x
1, cen
2,NA
3, Nin
4,SST 
697,27.3
698,27.3
699,27.2
700,26.5
701,26.3
702,26.2
703,26.0
704,26.0
705,25.7
706,25.7
707,25.9
708,25.9
709,25.9
710,25.9
711,25.8
712,25.7
713,25.5
714,25.3
715,25.0
716,24.9
717,24.8
718,25.0
719,24.8
720,25.0
721,25.0
722,25.3
723,25.5
724,25.2
725,25.3
726,25.4
727,25.3
728,25.3
729,25.4
730,25.5
731,25.6
732,25.5
733,25.4
734,25.6
735,25.7
736,25.7
737,25.9
738,26.0
739,26.1
740,26.0
741,26.4
742,26.7
743,26.7
744,26.7
745,27.1
746,27.4
747,27.4
748,27.4
749,27.4
750,27.4
751,27.4
752,27.2
753,26.7
754,26.6
755,26.8
756,26.7
757,26.7
758,26.6
759,26.4
760,26.0
761,25.6
762,25.4
763,25.5
764,25.2
765,25.4
766,25.2
767,25.1
768,24.9
769,24.9
770,25.0
771,25.0
772,25.1
773,25.3
774,25.4
775,25.2
776,25.2
777,25.4
778,25.4
779,25.4
780,25.5
781,25.5
782,25.4
783,25.6
784,25.7
785,25.8
786,25.9
787,25.8
788,25.7
789,25.9
790,26.0
791,26.0
792,25.9
793,26.2
794,26.4
795,26.3
796,26.2
797,26.7
798,27.3
799,27.3
800,27.4
801,27.4
802,27.7
803,27.9
804,28.1
805,28.1
806,27.6
807,27.4
808,27.1
809,26.8
810,26.9
811,26.8
812,26.9
813,26.7
814,26.3
815,26.2
816,25.8
817,25.4
818,25.2
819,25.2
820,25.4
821,25.2
822,24.8
823,24.5
824,24.5
825,24.7
826,24.5
827,24.6
828,24.9
829,24.7
830,24.7
831,24.3
832,24.2
833,24.3
834,24.3
835,24.2
836,24.1
837,24.0
838,24.3
839,24.7
840,25.0
841,25.0
842,24.8
843,25.1
844,25.5
845,25.8
846,26.3
847,26.4
848,26.2
849,26.5
850,26.5
851,26.6
852,26.8
853,27.1
854,27.6
855,27.2
856,27.2
857,27.2
858,27.1
859,27.1
860,26.9
861,26.8
862,26.6
863,26.5
864,26.3
865,26.1
866,26.0
867,25.8
868,25.8
869,25.7
870,25.5
871,25.3
872,25.4
873,25.5
874,25.6
875,25.6
876,25.8
877,25.9
878,25.7
879,25.7
880,26.1
881,26.0
882,26.1
883,25.9
884,25.9
885,26.1
886,26.3
887,26.1
888,26.1
889,26.3
890,26.5
891,26.6
892,26.4
893,26.7
894,26.4
895,26.5
896,26.6
897,26.6
898,26.3
899,26.4
900,26.5
901,26.6
902,27.3
903,26.8
904,26.6
905,26.7
906,27.2
907,27.4
908,27.3
909,26.9
910,26.3
911,26.3
912,26.3
913,26.1
914,25.8
915,26.1
916,25.9
917,25.5
918,25.3
919,24.9
920,24.8
921,24.5
922,24.1
923,23.8
924,24.0
925,23.8
926,23.7
927,23.7
928,23.6
929,23.6
930,23.2
931,23.2
932,23.3
933,23.5
934,23.5
935,23.2
936,23.0
937,23.2
938,23.2
939,23.3
940,23.5
941,23.3
942,23.7
943,23.7
944,23.9
945,24.0
946,24.0
947,24.1
948,24.7
949,24.8
950,24.7
951,25.1
952,25.8
953,26.3
954,26.5
955,26.7
956,26.8
957,26.9
958,27.3
959,27.3
960,27.1
961,27.3
962,26.8
963,27.1
964,27.2
965,27.2
966,27.0
967,26.7
968,26.3
969,26.2
970,26.3
971,26.3
972,26.2
973,25.9
974,25.9
975,25.9
976,25.8
977,25.5
978,25.3
979,25.3
980,25.2
981,24.9
982,25.1
983,24.7
984,24.9
985,24.9
986,24.8
987,24.6
988,24.6
989,24.9
990,24.9
991,24.6
992,24.8
993,24.6
994,24.6
995,24.5
996,24.4
997,24.5
998,24.8
999,25.5
1000,25.5
1001,25.4
1002,25.6
1003,26.1
1004,26.4
1005,26.1
1006,26.1
1007,26.4
1008,26.7
1009,27.2
1010,27.4
1011,27.5
1012,27.3
1013,27.5
1014,27.6
1015,27.4
1016,27.4
1017,27.2
1018,27.1
1019,27.2
1020,27.2
1021,27.1
1022,26.9
1023,26.7
1024,26.6
1025,26.5
1026,26.2
1027,26.0
1028,25.9
1029,25.8
1030,25.9
1031,25.9
1032,25.7
1033,25.6
1034,25.6
1035,25.4
1036,25.5
1037,25.6
1038,25.8
1039,26.1
1040,26.2
1041,26.2
1042,26.2
1043,26.3
1044,26.5
1045,26.6
1046,26.7
1047,26.8
1048,26.7
1049,26.7
1050,26.7
1051,26.5
1052,26.6
1053,26.7
1054,27.0
1055,27.2
1056,27.4
1057,27.5
1058,27.5
1059,27.8
1060,27.9
1061,28.1
1062,28.1
1063,28.2
1064,28.0
1065,27.8
1066,27.7
1067,27.1
1068,26.8
1069,26.4
1070,26.1
1071,26.0
1072,25.8
1073,25.5
1074,25.3
1075,24.8
1076,24.6
1077,24.4
1078,24.0
1079,24.0
1080,24.1
1081,23.8
1082,23.7
1083,23.4
1084,23.5
1085,23.4
1086,24.0
1087,23.5
1088,23.2
1089,23.0
1090,23.2
1091,23.6
1092,23.4
1093,23.5
1094,23.5
1095,23.3
1096,23.3
1097,23.4
1098,23.5
1099,23.4
1100,23.8
1101,24.1
1102,24.1
1103,24.4
1104,24.5
1105,24.9
1106,25.5
1107,25.6
1108,25.9
1109,26.0
1110,26.2
1111,26.3
1112,26.6
1113,26.9
1114,27.1
1115,27.3
1116,27.2
1117,27.2
1118,27.0
1119,27.0
1120,27.0
1121,26.8
1122,26.8
1123,26.7
1124,26.6
1125,26.5
1126,26.1
1127,25.8
1128,25.7
1129,25.6
1130,25.3
1131,25.0
1132,24.6
1133,24.5
1134,24.3
1135,24.4
1136,24.2
1137,24.1
1138,24.3
1139,24.1
1140,24.1
1141,24.1
1142,23.9
1143,23.8
1144,23.9
1145,23.9
1146,23.8
1147,24.0
1148,23.8
1149,23.9
1150,24.1
1151,24.5
1152,24.4
1153,24.6
1154,24.8
1155,24.9
1156,25.2
1157,25.2
1158,25.6
1159,26.3
1160,26.8
1161,27.1
1162,26.7
1163,26.6
1164,27.0
1165,27.5
1166,27.6
1167,27.8
1168,27.5
1169,27.5
1170,27.4
1171,27.3
1172,27.2
1173,27.1
1174,27.2
1175,27.1
1176,27.1
1177,27.1
1178,27.1
1179,26.8
1180,26.6
1181,26.5
1182,26.4
1183,26.1
1184,25.9
1185,25.6
1186,25.5
1187,25.6
1188,25.5
1189,25.3
1190,25.2
1191,25.1
1192,24.8
1193,24.7
1194,25.0
1195,25.0
1196,25.2
1197,25.1
1198,25.2
1199,25.1
1200,24.9
1201,24.9
1202,24.8
1203,24.9
1204,25.0
1205,25.0
1206,24.8
1207,25.0
1208,25.3
1209,25.1
1210,25.5
1211,25.9
1212,26.2
1213,26.5
1214,27.0
1215,27.1
1216,27.6
1217,27.6
1218,27.3
1219,27.5
1220,27.5
1221,27.3
1222,26.9
1223,26.7
1224,26.5
1225,25.9
1226,25.9
1227,25.9
1228,25.9
1229,25.7
1230,25.6
1231,25.4
1232,25.0
1233,24.8
1234,24.9
1235,24.6
1236,24.5
1237,24.4
1238,24.4
1239,24.5
1240,24.6
1241,24.7
1242,24.9
1243,24.7
1244,24.6
1245,24.6
1246,24.8
1247,24.7
1248,24.8
1249,24.8
1250,24.7
1251,24.8
1252,24.9
1253,24.9
1254,25.1
1255,25.2
1256,25.2
1257,25.2
1258,25.1
